id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
line-0014,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,97,evolution_rise_1,1,1,3.0,37.5,0.0,1,previews/line-0014.png,,evolution|rise|1|李佳3|视觉ocr快速可编辑复刻.pptx
line-0015,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,39,chart-grid-0,9,-2,505.5,0.0,0.0,1,previews/line-0015.png,,chart|grid|0|识别2|knight可编辑复刻.pptx
line-0016,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,21,judgement-vline-1,9,-2,0.0,77.25,0.0,3,previews/line-0016.png,,judgement|vline|1|识别3|knight可编辑复刻.pptx
line-0017,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,46,kpi-divider-top,9,-2,0.0,96.75,0.0,2,previews/line-0017.png,,kpi|divider|top|识别3|knight可编辑复刻.pptx
line-0018,lines,线条,native_editable,party-semantic-editable.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\semantic-rebuild-v9\party-semantic-editable.pptx,1,3,Shape 0,9,-2,195.6,0.0,0.0,6,previews/line-0018.png,,shape|0|party|semantic|editable.pptx
line-0019,lines,线条,native_editable,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,5,header_rule,9,-2,1152.0,0.75,0.0,1,previews/line-0019.png,,header|rule|李佳1|快速可编辑复刻.pptx
line-0020,lines,线条,native_editable,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,58,skill_rule,9,-2,369.75,0.75,0.0,2,previews/line-0020.png,,skill|rule|李佳1|快速可编辑复刻.pptx
line-0021,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,26,judgement-divider-1,9,-2,383.25,0.0,0.0,3,previews/line-0021.png,,judgement|divider|1|识别3|knight可编辑复刻.pptx
line-0022,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,100,evolution_run_3,1,1,97.5,3.0,0.0,1,previews/line-0022.png,,evolution|run|3|李佳3|视觉ocr快速可编辑复刻.pptx
line-0023,lines,线条,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,96,evolution_run_1,1,1,91.5,3.0,0.0,2,previews/line-0023.png,,evolution|run|1|李佳3|视觉ocr快速可编辑复刻.pptx
line-0024,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,55,chart-legend-line,9,-2,25.5,0.0,0.0,1,previews/line-0024.png,,chart|legend|line|识别2|knight可编辑复刻.pptx
line-0025,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,98,top-blue-rule,9,-2,1200.0,0.0,0.0,1,previews/line-0025.png,,top|blue|rule|识别2|knight可编辑复刻.pptx
line-0026,lines,线条,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,2,102,fast_rule_2,1,1,1254.0,1.5,0.0,3,previews/line-0026.png,,fast|rule|2|七页原图批量可编辑复刻.pptx
line-0027,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,10,title-underline,9,-2,70.5,0.0,0.0,1,previews/line-0027.png,,title|underline|识别2|knight可编辑复刻.pptx
logo-0001,logos,Logo 与品牌标志,picture,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,117,Picture 116,13,1,177.982,39.0,0.0,1,previews/logo-0001.png,assets/png/logo-0001.png,picture|116|李佳1|快速可编辑复刻.pptx
logo-0002,logos,Logo 与品牌标志,picture,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,87,Picture 86,13,1,54.0,54.0,0.0,1,previews/logo-0002.png,assets/png/logo-0002.png,picture|86|识别3|knight可编辑复刻.pptx
logo-0003,logos,Logo 与品牌标志,picture,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,104,Picture 103,13,1,43.5,43.5,0.0,1,previews/logo-0003.png,assets/png/logo-0003.png,picture|103|识别2|knight可编辑复刻.pptx
logo-0004,logos,Logo 与品牌标志,picture,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,148,Picture 147,13,1,115.5,90.75,0.0,1,previews/logo-0004.png,assets/png/logo-0004.png,picture|147|李佳1|快速可编辑复刻.pptx
